resource_id,task_id,busy_start,busy_end,charge_start,charge_end
C01,K21-004,2071.4525012669105,3124.297626473608,3124.297626473608,3567.7663941137253
C02,K21-004,2219.3997245519695,3367.842553753615,3367.842553753615,3860.244129898112
C03,K21-004,2481.1363120763835,3613.231823773147,3613.231823773147,4095.7994667311123
C04,K21-004,2700.850820960395,3753.6614062633284,3753.6614062633284,4197.109395992588
C01,K21-005,46.84391702307363,1072.5265512379156,1072.5265512379156,1518.114114323672
C02,K21-005,200.0013362125028,1266.477013232653,1266.477013232653,1732.1312169752564
C03,K21-005,323.6159504703153,1384.48919178083,1384.48919178083,1846.773180291856
C04,K21-005,517.0454052832492,1542.7039698868707,1542.7039698868707,1988.2770535971272
C01,K21-007,1446.6911094175282,2458.9553925439304,2458.9553925439304,2903.47175425952
C02,K21-007,1582.270361228047,2675.4499815662257,2675.4499815662257,3156.5909777525158
C03,K21-007,1691.2630907202347,2781.2772561430484,2781.2772561430484,3260.5140333568147
C04,K21-007,1894.778051446631,2907.0027227956093,2907.0027227956093,3351.495255551342
C01,K21-008,1808.8105692756908,3018.806626480835,3018.806626480835,3546.2792496268894
C02,K21-008,1961.065165577445,3311.2214144741356,3311.2214144741356,3910.2477311382354
C03,K21-008,2147.4441206555703,3481.537210372573,3481.537210372573,4070.900532842641
C04,K21-008,2436.228737953884,3646.2335760671294,3646.2335760671294,4173.711481478213
C01,K21-010,3783.8738211157292,5184.950389218408,5184.950389218408,5825.86862651926
C02,K21-010,4013.7397707288965,5571.183541883691,5571.183541883691,6227.824234626562
C03,K21-010,4314.70935385878,5855.159208387598,5855.159208387598,6509.69041321596
C04,K21-010,4669.197809156712,6070.271892104516,6070.271892104516,6711.189820918262
C01,K21-011,4759.022626430582,6199.8193155268855,6199.8193155268855,6846.352276222603
C02,K21-011,4999.824493553702,6566.319734805744,6566.319734805744,7224.492593737927
C03,K21-011,5230.829159691398,6787.123467715901,6787.123467715901,7444.030064971401
C04,K21-011,5571.470005199098,7012.251822810632,7012.251822810632,7658.782937480028
C01,K21-012,2876.9329753214224,4148.101387286699,4148.101387286699,4719.504683159426
C02,K21-012,3052.203054358937,4401.793797923159,4401.793797923159,5006.199080680772
C03,K21-012,3181.122756507374,4524.226883046857,4524.226883046857,5124.730060250526
C04,K21-012,3439.586098133418,4710.702358091554,4710.702358091554,5282.074281272486
C01,K21-013,5983.513568144709,7008.064997724462,7008.064997724462,7475.299972419838
C02,K21-013,6131.762979183275,7293.5620989509425,7293.5620989509425,7821.44760395837
C03,K21-013,6413.468423519213,7562.126454419693,7562.126454419693,8082.106773155452
C04,K21-013,6671.251528112799,7695.802654807192,7695.802654807192,8163.037447298094
C01,K21-014,3634.183607044593,4711.425999338795,4711.425999338795,5212.155684036281
C02,K21-014,3830.085383634357,4916.945789048949,4916.945789048949,5426.05374956598
C03,K21-014,3945.3769485757634,5028.022093166788,5028.022093166788,5534.594310844641
C04,K21-014,4152.074987645048,5229.294405711984,5229.294405711984,5730.010269975878
