route,phase_prev,phase_next,previous_segment_end_altitude,next_segment_start_altitude,continuous
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,cruise,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,cruise,descent,273.0566101074219,273.0566101074219,True
O01->S001->S008->O01,descent,handoff,184.0,184.0,True
O01->S001->S008->O01,handoff,climb,184.0,184.0,True
O01->S001->S008->O01,climb,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
O01->S001->S008->O01,cruise,cruise,366.78717041015625,366.78717041015625,True
