resource_id,battery_type,task_id,busy_start,busy_end,use_end,charge_start,charge_end,energy_kwh
C-B01,C,K21-001,0.0,2499.5269879058733,1117.426741156066,1117.426741156066,2499.5269879058733,2.026216295691595
C-B02,C,K21-002,0.0,4470.810845555511,1931.0081198540017,1931.0081198540017,4470.810845555511,6.300810064128651
C-B03,C,K21-003,1117.426741156066,3731.6985629389765,2300.2906272183127,2300.2906272183127,3731.6985629389765,2.208275454968606
C-B04,C,K21-004,1931.0081198540017,5415.492847933174,3658.4902193372072,3658.4902193372072,5415.492847933174,3.4104712440466476
B-B01,B,K21-005,0.0,2860.3648040614744,1404.5722402424637,1404.5722402424637,2860.3648040614744,1.8210597626592548
B-B02,B,K21-006,0.0,3634.4242169309764,1773.8013868098371,1773.8013868098371,3634.4242169309764,2.7552834541257063
B-B03,B,K21-007,1404.5722402424637,4222.295440470367,2764.973179189912,2764.973179189912,4222.295440470367,1.8245898337241249
B-B04,B,K21-008,1773.8013868098371,5085.230886610049,3492.3998384076576,3492.3998384076576,5085.230886610049,2.137302418928596
C-B01,C,K21-009,2499.5269879058733,7301.001230311342,4755.337838947178,4755.337838947178,7301.001230311342,6.322449445036911
C-B03,C,K21-010,3731.6985629389765,8363.133760781628,5856.884053866068,5856.884053866068,8363.133760781628,6.176921994765144
C-B02,C,K21-011,4755.337838947178,9198.839252228338,6779.097724999439,6779.097724999439,9198.839252228338,5.8575071774605485
B-B01,B,K21-012,2860.3648040614744,6208.00967932314,4539.938897678325,4539.938897678325,6208.00967932314,2.3109325730264962
C-B04,C,K21-013,5856.884053866068,9538.26602983712,7556.929670916888,7556.929670916888,9538.26602983712,4.238780402167004
B-B02,B,K21-014,3634.4242169309764,6622.939938765296,5045.204003904621,5045.204003904621,6622.939938765296,2.102467541986173
B-B03,B,K21-015,4539.938897678325,6713.012245558209,5579.569701874682,5579.569701874682,6713.012245558209,1.0771751008081385
C-B01,C,K21-016,7301.001230311342,9945.118146075592,8484.427971467408,8484.427971467408,9945.118146075592,2.316394490860985
C-B03,C,K21-017,8363.133760781628,10943.465079979016,9546.560501937694,9546.560501937694,10943.465079979016,2.080878441998727
C-B02,C,K21-018,9198.839252228338,11868.896592180106,10382.265993384404,10382.265993384404,11868.896592180106,2.412174518630284
B-B04,B,K21-019,5085.230886610049,8388.205975945111,6695.120921747254,6695.120921747254,8388.205975945111,2.3686578173796686
B-B01,B,K21-020,6208.00967932314,9795.095948065618,8078.252484303247,8078.252484303247,9795.095948065618,2.4234849163747043
C-B04,C,K21-021,9546.560501937694,12153.793341935701,10729.424387999941,10729.424387999941,12153.793341935701,2.182285368378188
