resource_id,task_id,busy_start,busy_end,phase
U07,K24-001,390.0,448.14264404296875,climb
U07,K24-001,448.14264404296875,652.3733146928696,cruise
U07,K24-001,652.3733146928696,696.9016197465805,descent
U07,K24-001,804.9016197465805,840.5242637895493,climb
U07,K24-001,840.5242637895493,1044.748436102355,cruise
U07,K24-001,1044.748436102355,1117.426741156066,descent
U08,K24-002,480.0,552.5017016601563,climb
U08,K24-002,552.5017016601563,1048.2034596320877,cruise
U08,K24-002,1048.2034596320877,1092.930586707283,descent
U08,K24-002,1308.930586707283,1344.7122883674392,climb
U08,K24-002,1344.7122883674392,1840.3809927788063,cruise
U08,K24-002,1840.3809927788063,1931.0081198540017,descent
U07,K24-003,1507.426741156066,1602.7858768982537,climb
U07,K24-003,1602.7858768982537,1814.854139838315,cruise
U07,K24-003,1814.854139838315,1840.5030595160492,descent
U07,K24-003,1948.5030595160492,1969.0221952582367,climb
U07,K24-003,1969.0221952582367,2181.0917075405778,cruise
U07,K24-003,2181.0917075405778,2300.2906272183127,descent
U08,K24-004,2381.008119854002,2534.7173898735327,climb
U08,K24-004,2534.7173898735327,2836.9898520230727,cruise
U08,K24-004,2836.9898520230727,2918.7264395474867,descent
U08,K24-004,3098.7264395474867,3164.115709567018,climb
U08,K24-004,3164.115709567018,3466.353631812793,cruise
U08,K24-004,3466.353631812793,3658.4902193372072,descent
U05,K24-005,390.0,492.6455118815104,climb
U05,K24-005,492.6455118815104,811.2202073356964,cruise
U05,K24-005,811.2202073356964,844.8348215935089,descent
U05,K24-005,934.8348215935089,962.847000141686,climb
U05,K24-005,962.847000141686,1281.3976259846513,cruise
U05,K24-005,1281.3976259846513,1404.5722402424637,descent
U06,K24-006,390.0,485.20033162434896,climb
U06,K24-006,485.20033162434896,978.4742715543227,cruise
U06,K24-006,978.4742715543227,1031.8746695035416,descent
U06,K24-006,1121.8746695035416,1166.3750011278905,climb
U06,K24-006,1166.3750011278905,1659.5609888606184,cruise
U06,K24-006,1659.5609888606184,1773.8013868098371,descent
U05,K24-007,1794.5722402424637,1885.0661814859534,climb
U05,K24-007,1885.0661814859534,2208.3331194460457,cruise
U05,K24-007,2208.3331194460457,2227.3258489382333,descent
U05,K24-007,2317.3258489382333,2333.153123515056,climb
U05,K24-007,2333.153123515056,2656.3804496977245,cruise
U05,K24-007,2656.3804496977245,2764.973179189912,descent
U06,K24-008,2163.801386809837,2318.550516041608,climb
U06,K24-008,2318.550516041608,2679.2739337432386,cruise
U06,K24-008,2679.2739337432386,2775.6528888213634,descent
U06,K24-008,2865.6528888213634,2945.968684719801,climb
U06,K24-008,2945.968684719801,3306.700883329532,cruise
U06,K24-008,3306.700883329532,3492.3998384076576,descent
U07,K24-009,2889.5269879058733,3063.1686431793105,climb
U07,K24-009,3063.1686431793105,3547.283874621632,cruise
U07,K24-009,3547.283874621632,3658.935943713429,descent
U07,K24-009,3766.935943713429,3856.2575989868665,climb
U07,K24-009,3856.2575989868665,4340.285769855382,cruise
U07,K24-009,4340.285769855382,4557.337838947178,descent
