resource_id,task_id,busy_start,busy_end,charge_start,charge_end
C01,K25-004,1873.4525012669103,2926.297626473608,2926.297626473608,3369.7663941137253
C02,K25-004,2021.3997245519697,3169.842553753615,3169.842553753615,3662.244129898112
C03,K25-004,2283.1363120763835,3415.231823773147,3415.231823773147,3897.7994667311123
C04,K25-004,2502.850820960395,3555.6614062633284,3555.6614062633284,3999.1093959925884
C01,K25-005,46.84391702307363,1072.5265512379156,1072.5265512379156,1518.114114323672
C02,K25-005,200.0013362125028,1266.477013232653,1266.477013232653,1732.1312169752564
C03,K25-005,323.6159504703153,1384.48919178083,1384.48919178083,1846.773180291856
C04,K25-005,517.0454052832492,1542.7039698868707,1542.7039698868707,1988.2770535971272
C01,K25-007,1446.6911094175282,2458.9553925439304,2458.9553925439304,2903.47175425952
C02,K25-007,1582.270361228047,2675.4499815662257,2675.4499815662257,3156.5909777525158
C03,K25-007,1691.2630907202347,2781.2772561430484,2781.2772561430484,3260.5140333568147
C04,K25-007,1894.778051446631,2907.0027227956093,2907.0027227956093,3351.495255551342
C01,K25-008,1808.8105692756908,3018.806626480835,3018.806626480835,3546.2792496268894
C02,K25-008,1961.065165577445,3311.2214144741356,3311.2214144741356,3910.2477311382354
C03,K25-008,2147.4441206555703,3481.537210372573,3481.537210372573,4070.900532842641
C04,K25-008,2436.228737953884,3646.2335760671294,3646.2335760671294,4173.711481478213
C01,K25-010,3693.8738211157292,5094.950389218408,5094.950389218408,5735.86862651926
C02,K25-010,3923.7397707288965,5481.183541883691,5481.183541883691,6137.824234626562
C03,K25-010,4116.70935385878,5657.159208387598,5657.159208387598,6311.69041321596
C04,K25-010,4471.197809156712,5872.271892104516,5872.271892104516,6513.189820918262
C01,K25-011,4561.022626430582,6001.8193155268855,6001.8193155268855,6648.352276222603
C02,K25-011,4801.824493553702,6368.319734805744,6368.319734805744,7026.492593737927
C03,K25-011,5032.829159691398,6589.123467715901,6589.123467715901,7246.030064971401
C04,K25-011,5373.470005199098,6814.251822810632,6814.251822810632,7460.782937480028
C01,K25-012,2876.9329753214224,4148.101387286699,4148.101387286699,4719.504683159426
C02,K25-012,3052.203054358937,4401.793797923159,4401.793797923159,5006.199080680772
C03,K25-012,3181.122756507374,4524.226883046857,4524.226883046857,5124.730060250526
C04,K25-012,3439.586098133418,4710.702358091554,4710.702358091554,5282.074281272486
C01,K25-013,5695.513568144709,6720.064997724462,6720.064997724462,7187.299972419838
C02,K25-013,5843.762979183275,7005.5620989509425,7005.5620989509425,7533.44760395837
C03,K25-013,6017.468423519213,7166.126454419693,7166.126454419693,7686.106773155452
C04,K25-013,6275.251528112799,7299.802654807192,7299.802654807192,7767.037447298094
C01,K25-014,3634.183607044593,4711.425999338795,4711.425999338795,5212.155684036281
C02,K25-014,3830.085383634357,4916.945789048949,4916.945789048949,5426.05374956598
C03,K25-014,3945.3769485757634,5028.022093166788,5028.022093166788,5534.594310844641
C04,K25-014,4152.074987645048,5229.294405711984,5229.294405711984,5730.010269975878
C01,K25-023,10798.280755689288,12199.357323791966,12199.357323791966,12840.275561092818
C02,K25-023,11028.146705302455,12585.59047645725,12585.59047645725,13242.23116920012
C03,K25-023,11221.116288432338,12761.566142961155,12761.566142961155,13416.097347789519
C04,K25-023,11575.604743730271,12976.678826678075,12976.678826678075,13617.59675549182
C01,K25-024,12251.722214270481,13276.273643850236,13276.273643850236,13743.508618545611
C02,K25-024,12399.971625309048,13561.770745076716,13561.770745076716,14089.656250084143
C03,K25-024,12573.677069644986,13722.335100545466,13722.335100545466,14242.315419281225
C04,K25-024,12831.460174238571,13856.011300932965,13856.011300932965,14323.246093423866
