task_id,box_id,delivery_time_s
K24-001,S001-MED-01,732.9016197465805
K24-001,S001-MED-02,768.9016197465805
K24-001,S001-WAT-01,804.9016197465805
K24-002,S002-MED-01,1128.930586707283
K24-002,S002-WAT-01,1164.930586707283
K24-002,S002-WAT-02,1200.930586707283
K24-002,S002-WAT-03,1236.930586707283
K24-002,S002-WAT-04,1272.930586707283
K24-002,S002-FOD-01,1308.930586707283
K24-003,S006-MED-01,1876.5030595160492
K24-003,S006-WAT-01,1912.5030595160492
K24-003,S006-WAT-02,1948.5030595160492
K24-004,S007-MED-01,2954.7264395474867
K24-004,S007-WAT-01,2990.7264395474867
K24-004,S007-WAT-02,3026.7264395474867
K24-004,S007-FOD-01,3062.7264395474867
K24-004,S007-HYG-01,3098.7264395474867
K24-005,S010-MED-01,874.8348215935089
K24-005,S010-WAT-01,904.8348215935089
K24-005,S010-FOD-01,934.8348215935089
K24-006,S012-MED-01,1061.8746695035416
K24-006,S012-WAT-01,1091.8746695035416
K24-006,S012-FOD-01,1121.8746695035416
K24-007,S013-MED-01,2257.3258489382333
K24-007,S013-WAT-01,2287.3258489382333
K24-007,S013-FOD-01,2317.3258489382333
K24-008,S014-MED-01,2805.6528888213634
K24-008,S014-WAT-01,2835.6528888213634
K24-008,S014-FOD-01,2865.6528888213634
K24-009,S003-MED-01,3694.935943713429
K24-009,S003-WAT-01,3730.935943713429
K24-009,S003-WAT-02,3766.935943713429
K24-010,S004-MED-01,4867.262550979959
K24-010,S004-WAT-01,4903.262550979959
K24-010,S004-WAT-02,4939.262550979959
K24-011,S008-MED-01,5733.0652177156935
K24-011,S008-WAT-01,5769.0652177156935
K24-011,S008-WAT-02,5805.0652177156935
K24-011,S008-FOD-01,5841.0652177156935
K24-011,S008-HYG-01,5877.0652177156935
K24-012,S015-MED-01,3868.61792687347
K24-012,S015-WAT-01,3898.61792687347
K24-012,S015-FOD-01,3928.61792687347
K24-013,S005-MED-01,6583.542013834158
K24-013,S005-WAT-01,6619.542013834158
K24-013,S005-WAT-02,6655.542013834158
K24-014,S009-MED-01,4516.415597531432
K24-014,S009-WAT-01,4546.415597531432
K24-014,S009-FOD-01,4576.415597531432
K24-015,S011-MED-01,5236.943345991138
K24-015,S011-WAT-01,5266.943345991138
K24-015,S011-FOD-01,5296.943345991138
K24-016,S001-WAT-06,7514.981750393883
K24-016,S001-WAT-07,7550.981750393883
K24-016,S001-WAT-08,7586.981750393883
K24-016,S001-FOD-01,7622.981750393883
K24-017,S001-FOD-02,8682.572256249048
K24-017,S001-FOD-03,8718.572256249048
K24-017,S001-HYG-01,8754.572256249048
K24-017,S001-HYG-02,8790.572256249048
K24-018,S001-WAT-02,9736.75672754105
K24-018,S001-WAT-03,9772.75672754105
K24-018,S001-WAT-04,9808.75672754105
K24-018,S001-WAT-05,9844.75672754105
K24-019,S002-FOD-02,6067.132430958934
K24-019,S002-HYG-01,6097.132430958934
K24-020,S003-FOD-02,7316.147945433429
K24-020,S003-HYG-01,7346.147945433429
K24-021,S003-WAT-03,10298.50633346609
K24-021,S003-WAT-04,10334.50633346609
K24-021,S003-FOD-01,10370.50633346609
K24-022,S004-WAT-03,11292.845836991517
K24-022,S004-FOD-01,11328.845836991517
K24-022,S004-HYG-01,11364.845836991517
K24-023,S005-WAT-03,12085.566188667928
K24-023,S005-FOD-01,12121.566188667928
K24-023,S005-HYG-01,12157.566188667928
K24-024,S006-WAT-03,12843.54365823761
K24-024,S006-FOD-01,12879.54365823761
K24-024,S006-HYG-01,12915.54365823761
