resource,sortie_id,start_s,end_s
transport:U07,K21-001,0.0,1561.4332394931612
battery:C-B01,K21-001,0.0,2943.541609164337
service:S001,K21-001,816.9016197465805,1248.9016197465805
transport:U08,K21-003,0.0,1560.8626367199668
battery:C-B02,K21-003,0.0,2992.269010762781
service:S006,K21-003,813.0763183599829,1209.076318359983
transport:U08,K21-010,1560.8626367199668,3866.0506128019324
battery:C-B03,K21-010,1560.8626367199668,6372.303426161085
service:S004,K21-010,2750.4266247609494,3146.4266247609494
transport:U05,K21-015,0.0,1189.6355632922941
battery:B-B01,K21-015,0.0,2323.0825261363334
service:S011,K21-015,667.0044483128131,907.0044483128131
transport:U07,K21-016,1561.4332394931612,3188.8664789863224
battery:C-B04,K21-016,1561.4332394931612,4649.564776515875
service:S001,K21-016,2408.3348592397415,2876.3348592397415
transport:U07,K21-017,3188.8664789863224,4816.299718479484
battery:C-B01,K21-017,3188.8664789863224,6213.212419442175
service:S001,K21-017,4035.768098732903,4503.768098732903
transport:U08,K21-018,3866.0506128019324,5427.483852295094
battery:C-B02,K21-018,3866.0506128019324,6914.1225740121645
service:S001,K21-018,4682.952232548513,5114.952232548513
transport:U07,K21-021,4816.299718479484,6377.162355199451
battery:C-B04,K21-021,4816.299718479484,7801.52974745736
service:S006,K21-021,5629.376036839467,6025.376036839467
relay:R01,K21-010,1258.9426082713912,3776.1528744350576
relay_component:R-E01,K21-010,1258.9426082713912,3476.1528744350576
relay_component:R-E01,K21-010,3476.1528744350576,4218.695350497122
