resource,sortie_id,start_s,end_s
transport:U07,K18-001,0.0,1561.4332394931612
battery:C-B01,K18-001,0.0,3187.3109623674864
service:S001,K18-001,816.9016197465805,1248.9016197465805
transport:U08,K18-003,0.0,1560.8626367199668
battery:C-B02,K18-003,0.0,3096.730061755684
service:S006,K18-003,813.0763183599829,1209.076318359983
transport:U08,K18-010,1560.8626367199668,3866.0506128019324
battery:C-B03,K18-010,1560.8626367199668,6372.303426161085
service:S004,K18-010,2750.4266247609494,3146.4266247609494
transport:U05,K18-015,0.0,1189.6355632922941
battery:B-B01,K18-015,0.0,2323.0825261363334
service:S011,K18-015,667.0044483128131,907.0044483128131
transport:U07,K18-016,1561.4332394931612,3188.8664789863224
battery:C-B04,K18-016,1561.4332394931612,4835.984651140779
service:S001,K18-016,2408.3348592397415,2876.3348592397415
relay:R01,K18-010,1258.9426082713912,3776.1528744350576
relay_component:R-E01,K18-010,1258.9426082713912,3476.1528744350576
relay_component:R-E01,K18-010,3476.1528744350576,4218.695350497122
